Community,Average_Risk,Members,IDs,Num_Members
250,0.4444444444444444,"BRUCE KING, DOUGLAS PORTER, NOËL BRASSARD, DR.DENISE CLOUTIER, DANIEL DYER, REBECCA CASTANEDA, LOUISE BLANCHETTE, JEFFREY WALKER, SHARON HAMPTON","CUST51009150, CUST19504303, EXTERNAL784848, CUST69228684, CUST19459381, EXTERNAL506125, EXTERNAL225156, CUST78845624, EXTERNAL984831",9
48,0.38461538461538464,"BRIANA EVANS, JEFFREY GARCIA, LI RONG, SAANVI SWAMINATHAN, JAMES DAVIS, CHRISTOPHER BROWN, RONALD ANDERSON, DAVID STEVENSON, DR.ALEXANDRE CHARTRAND-DUMAS, GILBERT PLANTE, ZOYA GULATI, DR.MICHAEL BARRETT, EMMANUELLE BOUDREAU","CUST49442340, EXTERNAL368915, EXTERNAL390775, EXTERNAL645622, EXTERNAL207793, CUST76469825, CUST30271118, CUST11760614, EXTERNAL584918, CUST84148408, EXTERNAL208978, CUST95253985, CUST96996451",13
69,0.375,"ANGEL MEDINA, DALIA TOMÁS COLLAZO, KELLY DAVIS, JEFFREY FERNANDEZ, KATELYN MCINTYRE, MONIQUE WALLS, TRISTAN HUNTER, DR.RAPHAËL LÉVESQUE, BROOKE PARKS, WILLIAM CANTRELL, RACHEL BALL, JUSTIN WAGNER, ASTRID CHARRON, DANIEL-GUILLAUME LAUZON, JOHN ANDREWS, DR.CHRISTOPHER MURPHY, MR. JEFFREY CONNER, BARRY JACOBS, BRIAN MITCHELL, SANDRA THOMAS, JESSICA MARTINEZ, NICOLE RIVARD, JODI SMITH, DR.DWAYNE TAYLOR","EXTERNAL625340, CUST56538301, EXTERNAL865799, EXTERNAL769464, CUST91491547, CUST99711782, CUST17496701, EXTERNAL906161, CUST12671609, CUST64512116, EXTERNAL379239, EXTERNAL209286, EXTERNAL566088, CUST34603310, CUST43538421, CUST73647827, EXTERNAL579575, EXTERNAL986490, CUST26958534, EXTERNAL430265, EXTERNAL637769, CUST14482109, EXTERNAL180818, CUST89141759",24
274,0.3684210526315789,"ERIC GIBSON, DR.BRIAN NEWTON, SUSAN NGUYEN, MICHAEL FLORES, JEFFREY ROGERS, GABRIELA LUCÍA ESPINO OQUENDO, DR.RICHARD WATSON, RYAN DELGADO, EMMA RODRIGUEZ, RICHARD YODER, HOWARD FRAZIER, NICHOLAS PETERS, RAGHAV KIBE, THOMAS STEPHENS, SONYA BROWN, SHERRI CHOI, LAUREN GOMEZ, CAROL JOHNSON, GEORGES-MARC JACQUES","CUST50778812, CUST63562596, CUST76138501, CUST96516710, CUST55332291, CUST80816116, CUST78382574, CUST28899102, CUST45675506, EXTERNAL272569, EXTERNAL492597, CUST47846653, CUST93671870, CUST44159400, EXTERNAL448706, CUST90001364, CUST84301050, CUST89385042, EXTERNAL833856",19
10,0.3333333333333333,"DR.MARIO VANCE, KAYLA MARTINEZ, DR.SHARON MASON, AMBER LUCAS, THOMAS DESBIENS, ALEXIS LAVALLÉE, XIANG JUN, NICOLE HENDERSON, TIMOTHY JOHNSON, VIOLETA ABREGO, CHRISTINA DAVIES, MA JIAN, DR.MICHAEL JOHNSON, PAMELA THOMAS, RYAN VAUGHN","CUST95429262, CUST10465526, CUST92468556, CUST19678855, EXTERNAL931239, CUST26105876, CUST66939693, CUST42500276, CUST92670137, EXTERNAL349801, EXTERNAL978227, CUST36687448, CUST37766304, CUST67032027, EXTERNAL531933",15
384,0.3333333333333333,"JAMIE PAGE, MARCUS PADILLA, DR.WENG HONG MEI, SCOTT THOMPSON, EVA YADAV, DR.TIMOTHY LEWIS","CUST68457907, CUST52831127, EXTERNAL163718, EXTERNAL669866, CUST94791408, CUST25476094",6
446,0.3333333333333333,"LEE COOPER, JUSTIN LOVE, SAVANNAH CLARK, BRENDA TORRES, ZHANG CHUN MEI, JONATHAN SPENCER JR.","CUST62485266, CUST30118522, CUST31073257, CUST41738888, CUST63578198, EXTERNAL460425",6
224,0.3333333333333333,"IND.GLEN SALAZAR, VANESSA DOUCET, WILLIE ALEXANDER, MARYSE DUPUIS, GABRIEL LAMOUREUX, BRIANNA ROBINSON, SHARON TAYLOR, CARRIE RAMOS, ROBIN HOWARD, KAIRA SATHE, JASON DAVID, CRYSTAL WALKER, PATRICK KENNEDY, DR.BRYAN RYAN, JOSEPH BÉDARD, SAVANNAH MOORE, JESSICA HALL MD, MANUEL TAYLOR","CUST79067022, EXTERNAL218362, CUST33183592, CUST80372328, EXTERNAL897509, EXTERNAL951679, CUST19988152, CUST64241117, CUST66468981, CUST85284724, CUST18277944, EXTERNAL237250, CUST96355706, CUST63982571, CUST87508238, EXTERNAL362110, EXTERNAL291214, EXTERNAL320249",18
164,0.3333333333333333,"JUSTIN WAGNER, ALICE LEMIEUX, TANYA JAYARAMAN","EXTERNAL488204, CUST73427099, CUST72462680",3
922,0.3333333333333333,"ROLAND MARTIN, PÉNÉLOPE GERVAIS, DR.SMIRNOV RUBEN MATVEEVICH, PATRICIA MARTIN, GRANT LITTLE, UTHKARSH KHALSA","CUST79971636, CUST55972340, EXTERNAL577310, EXTERNAL399093, CUST99078762, EXTERNAL782406",6
138,0.2857142857142857,"NANCY HOLT, TAMMY MARSH, TIMOTHY LEWIS, ALEXANDER BROWN, LAURA SMITH, JOSEPH WALL, ALINA NIKIFOROVNA MAMONTOVA, TAMI PORTER, CÉCILE-EMMA GAGNON, MELISSA TURNER, DR.YANG YANG, JAYESH SARNA, NATALIE MILLER, TONYA MILLER","EXTERNAL425627, CUST24296444, CUST29879217, EXTERNAL363020, EXTERNAL420559, EXTERNAL925366, CUST28448041, CUST42143902, EXTERNAL250541, EXTERNAL897489, CUST25620590, EXTERNAL568477, CUST28325236, CUST88642961",14
470,0.2727272727272727,"JULIE NADEAU, KEVIN COX, DR.ALEX-THÉRÈSE GILBERT, CHRISTOPHER HAYES, AAINA WALI, MIGUEL LAMB, QIU GUI HUA, DANIELLE ROY, BENJAMIN OLSEN MD, BONNIE LEE, ZHANG SHU YING","EXTERNAL675937, CUST45753582, EXTERNAL624743, CUST50538854, CUST83438895, CUST48662114, CUST53833901, CUST59025493, CUST32170830, CUST84618280, CUST43701456",11
220,0.26666666666666666,"EMMANUEL LABBÉ, DR.LI GUI YING, BAILEY BELL, CLÉMENCE-ÉLISE MARCOUX, ÉLISABETH DALLAIRE, AVGUST AKSENOVICH SHUBIN, IAN FIELDS, AURORE-MARGOT DESJARDINS, KEITH HAYNES, KENNETH BAILEY, SIMONE NOËL, MICHAEL WILLIAMSON, GRANT DOUGLAS, JONATHAN GALLEGOS, FRANK SIMPSON","EXTERNAL187043, EXTERNAL245599, EXTERNAL907296, CUST93052452, CUST89868512, CUST90637491, CUST82831388, EXTERNAL868798, CUST63930329, CUST38131074, EXTERNAL437574, EXTERNAL492710, EXTERNAL355812, EXTERNAL446647, CUST18098294",15
104,0.25,"SAMANTHA OWEN, GUY-OLIVIER BOLDUC, DR.DAWN BENNETT, LIU JING, KEVIN SAWYER, MIRANDA GREEN, REBECCA YOUNG, SHELBY BROWN, MICHEL BEAULIEU, SHRAY MALL, DR. TAMARA WILLIAMS, MAURICE TARDIF","CUST49212816, CUST77347023, EXTERNAL249798, EXTERNAL902351, EXTERNAL657584, EXTERNAL996542, CUST70931421, CUST24952060, CUST13690232, CUST24948072, CUST60056259, EXTERNAL493032",12
301,0.23529411764705882,"JULIA MURPHY, RENÉ-ÉTIENNE ST-JEAN, FLORENCE BÉLAND, THOMAS PRÉVOST, JEFFERY HALE, ANTHONY NGUYEN, VERONICA ROBERSON, LARRY RIVERA, DENIS TESSIER, JOSHUA BROWN, LARRY WEAVER, DEBRA FIELDS, XIA LI LI, RENEE MALONE, MICHAEL JOHNSTON, DR.NICHOLAS GRANT, ASHLEY CARPENTER","EXTERNAL854364, CUST23650072, CUST26431770, CUST39987003, EXTERNAL796334, CUST32838242, EXTERNAL484801, EXTERNAL299105, EXTERNAL542211, EXTERNAL853169, EXTERNAL854233, EXTERNAL850852, CUST88768781, CUST36252074, EXTERNAL216321, CUST92624149, CUST54247494",17
504,0.2,"TRAVIS PROCTOR, CASEY RUSSELL, CURTIS MILLER, CHRISTOPHER BROWN, DORIS JENNINGS","CUST45132020, CUST28201600, EXTERNAL779298, CUST34251561, CUST51748072",5
61,0.16666666666666666,"BRADLEY MITCHELL, DR.NICHOLAS PHILLIPS, EVELYN MCLAUGHLIN, RICHARD SOLIS, MARIA GRIFFITH, ALAIN ST-JEAN, MATTHEW NIXON, LUC CARON, CHRISTOPHER SCHNEIDER, GREGORY ESPINOZA, DAWN PATTERSON, EMILY KNAPP","CUST96633928, CUST12282122, CUST54606598, CUST76456669, EXTERNAL552349, CUST38451785, EXTERNAL903620, EXTERNAL176084, CUST35472439, CUST13535882, EXTERNAL635759, EXTERNAL120953",12
